ticker,opex_date,data_type,week_open,week_high,week_low,expiration_close,range_dollars,range_percent,weekly_return_percent,close_position_in_range,total_volume,average_volume,spot_price,atm_strike,atm_call_mid,atm_put_mid,expected_move,expected_move_percent,implied_upper,implied_lower,iv_percent,high_oi_put_strike,high_oi_put_oi,high_oi_call_strike,high_oi_call_oi
NVDA,2025-06-20,historical,143.33,146.18,142.63,143.83,3.55,2.48,0.35,0.338,726692000.0,181673000.0,,,,,,,,,,,,,
NVDA,2025-07-18,historical,165.34,174.22,161.99,172.38,12.23,7.4,4.26,0.85,833732200.0,166746440.0,,,,,,,,,,,,,
NVDA,2025-08-15,historical,182.02,184.45,178.01,180.42,6.44,3.54,-0.88,0.374,749836800.0,149967360.0,,,,,,,,,,,,,
NVDA,2025-09-19,historical,175.65,178.83,168.39,176.65,10.44,5.94,0.57,0.791,928588600.0,185717720.0,,,,,,,,,,,,,
NVDA,2025-10-17,historical,187.95,190.09,177.27,183.2,12.82,6.82,-2.53,0.463,926433200.0,185286640.0,,,,,,,,,,,,,
NVDA,2025-11-21,historical,185.95,195.98,172.91,178.86,23.07,12.41,-3.81,0.258,1324905200.0,264981040.0,,,,,,,,,,,,,
NVDA,2025-12-19,historical,177.93,181.44,170.3,180.98,11.14,6.26,1.71,0.959,1037161100.0,207432220.0,,,,,,,,,,,,,
NVDA,2026-01-16,historical,183.21,190.43,180.79,186.22,9.64,5.26,1.64,0.563,851839300.0,170367860.0,,,,,,,,,,,,,
NVDA,2026-02-20,historical,181.74,190.36,179.17,189.81,11.19,6.16,4.44,0.951,632002800.0,158000700.0,,,,,,,,,,,,,
NVDA,2026-03-20,historical,182.97,188.88,171.72,172.7,17.16,9.38,-5.61,0.057,968780300.0,193756060.0,,,,,,,,,,,,,
NVDA,2026-04-17,historical,186.03,201.7,185.74,201.68,15.96,8.58,8.41,0.999,774630900.0,154926180.0,,,,,,,,,,,,,
NVDA,2026-05-15,future,,,,,,,,,,,216.65,217.5,4.35,3.35,7.7,3.55,224.35,208.95,52.54,210.0,24567.0,225.0,105178.0
QCOM,2025-06-20,historical,154.36,155.75,148.07,148.74,7.69,4.98,-3.64,0.088,38043800.0,9510950.0,,,,,,,,,,,,,
QCOM,2025-07-18,historical,153.76,154.04,148.96,152.16,5.08,3.31,-1.04,0.631,35409100.0,7081820.0,,,,,,,,,,,,,
QCOM,2025-08-15,historical,146.04,156.55,145.2,155.16,11.35,7.77,6.25,0.878,36501800.0,7300360.0,,,,,,,,,,,,,
QCOM,2025-09-19,historical,159.56,167.64,158.38,164.94,9.26,5.81,3.38,0.709,49525700.0,9905140.0,,,,,,,,,,,,,
QCOM,2025-10-17,historical,154.17,163.3,154.0,161.58,9.3,6.03,4.81,0.815,36840100.0,7368020.0,,,,,,,,,,,,,
QCOM,2025-11-21,historical,170.82,172.84,157.03,161.43,15.81,9.25,-5.5,0.278,52351200.0,10470240.0,,,,,,,,,,,,,
QCOM,2025-12-19,historical,178.57,179.16,170.95,174.13,8.21,4.6,-2.49,0.387,56783600.0,11356720.0,,,,,,,,,,,,,
QCOM,2026-01-16,historical,174.76,174.76,158.19,158.4,16.56,9.48,-9.36,0.013,52843200.0,10568640.0,,,,,,,,,,,,,
QCOM,2026-02-20,historical,140.1,143.56,139.01,141.97,4.55,3.25,1.33,0.651,39099700.0,9774925.0,,,,,,,,,,,,,
QCOM,2026-03-20,historical,131.07,134.05,128.9,129.9,5.15,3.93,-0.89,0.194,118986200.0,23797240.0,,,,,,,,,,,,,
QCOM,2026-04-17,historical,128.0,136.97,126.46,136.2,10.51,8.21,6.41,0.927,43746100.0,8749220.0,,,,,,,,,,,,,
QCOM,2026-05-15,future,,,,,,,,,,,211.48,212.5,9.93,7.72,17.65,8.35,229.13,193.83,117.87,200.0,2989.0,240.0,5998.0
QQQ,2025-06-20,historical,527.94,532.79,522.35,524.29,10.44,1.98,-0.69,0.186,185430000.0,46357500.0,,,,,,,,,,,,,
QQQ,2025-07-18,historical,551.94,562.64,549.52,559.18,13.12,2.38,1.31,0.737,222954200.0,44590840.0,,,,,,,,,,,,,
QQQ,2025-08-15,historical,572.56,581.16,569.46,575.2,11.71,2.04,0.46,0.491,211370700.0,42274140.0,,,,,,,,,,,,,
QQQ,2025-09-19,historical,586.26,597.83,582.21,597.13,15.62,2.66,1.85,0.955,269952600.0,53990520.0,,,,,,,,,,,,,
QQQ,2025-10-17,historical,598.15,606.76,588.63,602.39,18.13,3.03,0.71,0.759,340888200.0,68177640.0,,,,,,,,,,,,,
QQQ,2025-11-21,historical,604.76,612.47,579.26,588.57,33.21,5.49,-2.68,0.28,441376600.0,88275320.0,,,,,,,,,,,,,
QQQ,2025-12-19,historical,616.8,616.85,598.75,615.48,18.09,2.93,-0.21,0.924,314590900.0,62918180.0,,,,,,,,,,,,,
QQQ,2026-01-16,historical,621.53,629.21,613.79,620.48,15.42,2.48,-0.17,0.434,269461800.0,53892360.0,,,,,,,,,,,,,
QQQ,2026-02-20,historical,597.63,609.58,592.59,608.04,16.99,2.84,1.74,0.909,268352600.0,67088150.0,,,,,,,,,,,,,
QQQ,2026-03-20,historical,599.28,605.14,577.81,581.33,27.33,4.56,-3.0,0.129,319874100.0,63974820.0,,,,,,,,,,,,,
QQQ,2026-04-17,historical,609.48,650.0,608.11,648.85,41.89,6.87,6.46,0.973,228805100.0,45761020.0,,,,,,,,,,,,,
QQQ,2026-05-15,future,,,,,,,,,,,701.01,701.0,8.64,4.51,13.15,1.88,714.16,687.86,29.57,675.0,26897.0,720.0,20081.0
RKLB,2025-06-20,historical,25.87,30.11,25.6,30.04,4.51,17.43,16.12,0.984,83623900.0,20905975.0,,,,,,,,,,,,,
RKLB,2025-07-18,historical,39.3,53.44,38.77,51.39,14.67,37.33,30.76,0.86,165568000.0,33113600.0,,,,,,,,,,,,,
RKLB,2025-08-15,historical,44.65,47.27,41.51,44.27,5.76,12.91,-0.85,0.48,92921100.0,18584220.0,,,,,,,,,,,,,
RKLB,2025-09-19,historical,53.58,55.17,46.45,47.79,8.72,16.27,-10.81,0.154,133600300.0,26720060.0,,,,,,,,,,,,,
RKLB,2025-10-17,historical,67.88,73.97,62.19,66.27,11.78,17.35,-2.37,0.346,120822700.0,24164540.0,,,,,,,,,,,,,
RKLB,2025-11-21,historical,45.15,46.26,37.57,40.3,8.69,19.25,-10.74,0.314,93768800.0,18753760.0,,,,,,,,,,,,,
RKLB,2025-12-19,historical,63.05,70.56,52.68,70.52,17.88,28.36,11.84,0.998,159844900.0,31968980.0,,,,,,,,,,,,,
RKLB,2026-01-16,historical,84.98,99.58,83.42,96.3,16.16,19.02,13.32,0.797,133146100.0,26629220.0,,,,,,,,,,,,,
RKLB,2026-02-20,historical,66.08,78.2,65.0,70.86,13.2,19.97,7.23,0.444,64124500.0,16031125.0,,,,,,,,,,,,,
